,Date,LocationID,PU_passenger,PUTripDistance_count,PickUp_count,PU_fare,DO_passenger,DOTripDistance_count,DO_fare,DropOff_count
235,2020-10,161,78513.0,116429.02,56264,569124.82,68583.0,85152.84,440247.89,49594
236,2020-10,162,71418.0,105488.19,51095,500735.54,54442.0,69171.11,355925.94,39363
237,2020-10,163,52348.0,78207.59,37119,378419.55,45147.0,58771.75,294309.97,32267
238,2020-10,164,42368.0,65918.78,29711,307884.16,36720.0,49322.1,244590.65,25835
239,2020-10,166,16122.0,28425.42,11398,133261.53,20230.0,37309.65,164410.03,14268
240,2020-10,170,73562.0,115828.73,52436,544723.29,69768.0,91774.19,456056.85,49655
241,2020-10,186,79623.0,137528.68,57353,633735.04,44211.0,57392.68,286315.4,31528
242,2020-10,194,96.0,515.85,84,2535.04,506.0,2185.25,7825.92,368
243,2020-10,202,191.0,899.73,166,3571.48,1368.0,5038.46,19092.97,1007
244,2020-10,209,3971.0,11716.12,2850,46239.96,5057.0,15535.12,58665.07,3598
245,2020-10,211,13553.0,23609.95,9302,105918.58,16932.0,29193.71,135138.77,11886
246,2020-10,224,4245.0,8028.91,3211,36531.42,10617.0,17396.26,77506.82,7467
247,2020-10,229,54155.0,77583.73,38563,362865.07,52742.0,69366.75,348417.96,37448
248,2020-10,230,38371.0,63286.63,27014,284668.99,30714.0,42589.01,201398.12,21581
249,2020-10,231,26054.0,57531.94,18191,239949.38,30705.0,70446.21,289336.29,21747
250,2020-10,232,2704.0,8706.57,2084,39157.47,12082.0,29333.42,122414.0,8676
251,2020-10,233,32286.0,51735.99,23006,233837.85,36087.0,51416.39,243192.79,25565
252,2020-10,234,63045.0,94199.95,44160,448773.03,53159.0,69956.34,342257.77,37507
253,2020-10,236,123384.0,160797.06,86340,822054.84,126534.0,196627.63,794284.1900000001,88809
254,2020-10,237,127657.0,159405.72,90431,821126.78,111997.0,123784.16,677702.37,79388
255,2020-10,238,67358.0,103400.73,47326,487771.01,68070.0,100466.1,472382.82,47179
256,2020-10,239,77145.0,107313.69,53671,516014.23,70504.0,96104.79,462387.44,49513
257,2020-10,243,760.0,3310.66,616,14348.26,5334.0,208395.18,100307.65,3872
258,2020-10,244,3998.0,12973.6,2953,54422.62,10965.0,49011.54,171791.84,7982
259,2020-10,246,22077.0,36448.67,15322,167116.32,31395.0,46959.33,223365.74,22204
260,2020-10,249,49115.0,78454.62,34096,353510.69,38834.0,55446.7,260881.69,27171
261,2020-10,261,8388.0,22843.86,5731,89332.81999999999,7451.0,20820.6,79189.42,5076
262,2020-10,262,39965.0,62240.76,28922,290424.17,43009.0,63906.26,300960.43,30122
263,2020-10,263,65954.0,100126.01,46789,468315.04,60135.0,87290.27,405663.61,42396
264,2020-11,4,1850.0,4916.26,1437,21566.57,9841.0,19765.66,84435.28,7044
265,2020-11,12,348.0,1059.36,227,3744.06,633.0,1650.84,6168.88,416
266,2020-11,13,8066.0,23740.9,5809,88539.39,10635.0,31023.21,114563.98,7382
267,2020-11,24,9690.0,16217.52,6780,75560.62,10746.0,18337.21,80570.27,7428
268,2020-11,41,14269.0,25438.77,10195,267752.07,22858.0,75943.3,200004.89,16208
269,2020-11,42,6844.0,73963.01000000001,5188,78805.72,16967.0,50481.06,203093.96,12355
270,2020-11,43,45565.0,62117.64,29888,301100.79,31903.0,41508.97,352631.42,21575
271,2020-11,45,2014.0,5945.78,1497,25107.39,4321.0,10762.27,44128.12,3077
272,2020-11,48,57594.0,92958.47,40539,415446.21,51028.0,69617.9,334453.47,36276
273,2020-11,50,15700.0,27130.010000000002,11184,120918.84,23494.0,35185.66,163829.88,17057
274,2020-11,68,46388.0,82658.24,33146,364370.58,43275.0,62658.86,291474.76,30768
275,2020-11,74,15543.0,30968.44,11331,141842.35,28780.0,60680.69,257738.51,20765
276,2020-11,75,33533.0,61986.2,24075,277905.65,45351.0,75075.48,342089.2,32606
277,2020-11,79,43296.0,76797.32,30564,332537.92,38027.0,64436.47,286418.84,27049
278,2020-11,87,8176.0,24759.33,5823,93706.35,10228.0,31805.06,118566.38,7418
279,2020-11,88,4368.0,14843.47,3131,52629.45,4561.0,15249.72,52893.69,3260
280,2020-11,90,42108.0,65739.02,29999,302971.29,31741.0,45537.36,211128.45,22596
281,2020-11,100,33535.0,56123.47,24216,255969.48,25719.0,32440.4,166144.72,18263
282,2020-11,107,48985.0,78696.01,35257,359920.95,40405.0,110962.43,275168.56,29093
283,2020-11,113,30932.0,49189.44,21904,229549.13999999998,26087.0,39649.29,185505.11,18684
284,2020-11,114,20199.0,33929.01,13859,150061.37,16316.0,97788.76,119543.24,11519
285,2020-11,116,3686.0,9415.45,2691,40572.98,8970.0,29143.13,110246.25,6461
286,2020-11,120,56.0,203.99,29,722.93,110.0,407.99,1428.46,68
287,2020-11,125,7712.0,14762.33,5620,63735.93,6669.0,12017.24,52244.39,4805
288,2020-11,127,303.0,1519.74,264,6308.75,1929.0,11889.1,38414.59,1372
289,2020-11,128,41.0,356.18,41,1248.87,133.0,1038.23,3302.53,110
290,2020-11,137,38291.0,76300.94,28047,322821.91,34797.0,54837.24,252615.84,25584
291,2020-11,140,58715.0,109873.61,42721,496011.9,52701.0,80528.75,395533.66,38106
292,2020-11,141,70233.0,99607.22,50644,478084.62,68333.0,86206.68,433969.38,48527
293,2020-11,142,68939.0,100291.14,48339,474667.42,60533.0,79362.88,388943.46,43105
294,2020-11,143,32256.0,48545.38,22690,227246.45,37207.0,52153.41,251284.54,26098
295,2020-11,144,12924.0,24222.34,9010,107345.04000000001,13877.0,24749.35,113664.1,9694
296,2020-11,148,11183.0,24056.6,7811,99017.3,12891.0,24529.86,110287.41,9042
297,2020-11,151,32765.0,50306.14,22886,236313.45,29667.0,45966.31,210731.03,20622
298,2020-11,152,2687.0,5768.65,1885,24842.79,5130.0,12321.17,50215.66,3598
299,2020-11,153,100.0,565.28,90,2506.68,188.0,1350.97,4733.32,145
300,2020-11,158,10096.0,17249.28,6984,76923.17,15434.0,24841.63,112382.77,10909
