,Unnamed: 0,Date,PU_passenger,PUTripDistance_count,PickUp_count,PU_fare,PUT_fare,LocationID,DO_passenger,DOTripDistance_count,DropOff_count,DO_fare,DOT_fare,Year
216,626,2021-01-03,217.0,325.47,155,1442.15,2239.58,114,280.0,629.78,194,2320.85,3537.04,2021
217,628,2021-01-03,57.0,151.84,54,784.55,925.89,116,201.0,760.96,151,2714.41,3472.31,2021
218,635,2021-01-03,140.0,192.89,88,786.43,1234.93,125,87.0,274.2,66,963.5,1390.08,2021
219,637,2021-01-03,15.0,48.14,12,303.2,374.67,127,70.0,445.72,48,1308.08,1614.7,2021
220,645,2021-01-03,675.0,1285.69,474,4932.59,7472.360000000001,137,580.0,1146.2,445,4722.99,7368.38,2021
221,648,2021-01-03,757.0,1238.46,502,5038.59,7737.67,140,807.0,1772.92,594,6622.54,10266.62,2021
222,649,2021-01-03,1218.0,1608.33,796,6795.07,10768.17,141,1182.0,2159.95,829,8375.41,13111.66,2021
223,650,2021-01-03,1210.0,1618.34,817,7312.86,11582.08,142,977.0,1749.89,739,7107.95,11223.97,2021
224,651,2021-01-03,524.0,688.24,340,3205.21,5005.68,143,587.0,1049.33,428,4452.71,6956.25,2021
225,652,2021-01-03,224.0,460.06,161,2009.21,2854.7,144,226.0,646.36,178,2399.58,3443.8,2021
226,656,2021-01-03,205.0,764.15,161,2681.48,3915.58,148,261.0,679.96,193,2634.7,3775.08,2021
227,659,2021-01-03,604.0,959.24,434,4341.71,5973.05,151,535.0,887.97,384,3819.3,5530.51,2021
228,660,2021-01-03,100.0,117.92,57,525.48,625.69,152,120.0,295.67,83,1112.02,1388.57,2021
229,661,2021-01-03,0.0,13.88,3,82.12,92.77,153,2.0,88.63,9,325.45,369.94,2021
230,664,2021-01-03,115.0,198.17,86,862.7,1344.09,158,236.0,523.17,168,2044.47,3083.09,2021
231,667,2021-01-03,786.0,1227.83,528,5196.59,7838.87,161,664.0,776.15,449,3598.86,5755.08,2021
232,668,2021-01-03,863.0,1325.8,605,5679.19,8825.56,162,491.0,782.13,361,3276.24,5180.64,2021
233,669,2021-01-03,531.0,904.69,389,3928.19,5965.17,163,481.0,753.28,331,3183.16,4947.08,2021
234,670,2021-01-03,472.0,927.4,341,3584.59,5310.05,164,475.0,888.51,332,3478.06,5379.06,2021
235,672,2021-01-03,213.0,462.18,173,1889.68,2500.9,166,323.0,809.14,227,2970.63,4132.36,2021
236,676,2021-01-03,840.0,1401.8,623,6138.43,9456.63,170,868.0,1847.42,599,7360.79,11237.43,2021
237,689,2021-01-03,2001.0,4328.3,1510,17675.52,26271.25,186,567.0,1031.28,419,4446.56,6650.13,2021
238,701,2021-01-03,0.0,3.33,1,21.95,25.5,202,20.0,66.29,11,215.0,279.8,2021
239,706,2021-01-03,59.0,132.71,35,497.86,663.91,209,67.0,338.41,49,1021.83,1388.19,2021
240,708,2021-01-03,150.0,248.59,113,1087.19,1655.76,211,227.0,533.16,157,1994.93,2909.71,2021
241,719,2021-01-03,58.0,118.02,43,477.84,739.62,224,198.0,422.71,124,1586.95,2407.29,2021
242,724,2021-01-03,636.0,978.65,457,4060.35,6367.93,229,758.0,1362.0,550,5468.43,8539.62,2021
243,725,2021-01-03,474.0,831.61,338,3473.11,5154.7300000000005,230,423.0,762.69,292,2899.09,4426.150000000001,2021
244,726,2021-01-03,205.0,449.89,166,1946.05,2815.91,231,359.0,1575.1,290,5559.17,7448.07,2021
245,727,2021-01-03,41.0,163.96,31,900.3,1069.77,232,265.0,808.5,174,2995.28,3979.72,2021
246,728,2021-01-03,388.0,685.7,263,2639.22,4067.0,233,557.0,1211.5,422,4888.52,7576.94,2021
247,729,2021-01-03,804.0,1150.29,544,5018.77,7823.16,234,678.0,1324.16,489,5303.92,8243.89,2021
248,731,2021-01-03,1466.0,1902.8,1016,8352.82,13468.03,236,1554.0,2335.41,1044,9511.91,15297.67,2021
249,732,2021-01-03,1252.0,1632.15,909,7357.34,11841.82,237,1045.0,1374.47,748,5993.86,9863.54,2021
250,733,2021-01-03,1050.0,1620.81,749,7006.4,10593.49,238,1131.0,1985.21,776,7904.37,12059.85,2021
251,734,2021-01-03,1283.0,1702.97,889,7680.11,12159.21,239,1274.0,2069.02,881,8331.19,13214.0,2021
252,738,2021-01-03,19.0,76.73,11,261.4,299.58,243,93.0,660.72,85,2079.34,2603.32,2021
253,739,2021-01-03,58.0,278.45,54,1102.25,1341.71,244,185.0,1113.51,151,3540.5,4445.07,2021
254,740,2021-01-03,323.0,554.48,216,2342.65,3437.4,246,487.0,834.02,314,3419.73,5213.59,2021
255,743,2021-01-03,499.0,756.47,364,3301.94,5203.92,249,540.0,1458.52,394,5115.49,7683.18,2021
256,753,2021-01-03,137.0,295.19,79,1069.83,1456.32,261,98.0,467.37,70,1434.4,1975.39,2021
257,754,2021-01-03,492.0,698.87,347,3003.39,4727.26,262,696.0,1501.66,477,5468.94,8433.17,2021
258,755,2021-01-03,978.0,1358.9,703,5837.14,9306.5,263,1018.0,1915.86,690,7312.75,11393.0,2021
259,760,2021-01-04,31.0,196.15,37,793.79,993.38,4,299.0,689.24,218,2706.39,3864.46,2021
260,765,2021-01-04,15.0,59.24,11,222.83,298.31,12,19.0,84.73,15,292.47,379.66,2021
261,766,2021-01-04,188.0,574.27,140,2064.43,2956.71,13,209.0,922.61,165,2966.55,4212.82,2021
262,777,2021-01-04,254.0,528.9399999999999,207,2272.64,3130.52,24,309.0,632.1,215,2504.9,3572.5,2021
263,792,2021-01-04,434.0,791.49,341,3901.61,4898.14,41,717.0,1610.03,539,6976.44,9263.95,2021
264,793,2021-01-04,199.0,581.14,184,2656.27,3160.69,42,502.0,1871.49,414,7350.74,9226.2,2021
265,794,2021-01-04,1226.0,1592.88,799,7420.12,11626.03,43,824.0,1183.52,564,5276.97,8257.52,2021
266,796,2021-01-04,49.0,195.41,46,757.05,984.07,45,109.0,407.79,101,1585.78,2102.45,2021
267,798,2021-01-04,1471.0,2615.02,1054,11142.51,16730.75,48,1390.0,2380.27,989,10103.72,15986.24,2021
268,800,2021-01-04,393.0,767.99,302,3361.88,4937.81,50,546.0,1185.25,425,4765.93,7279.54,2021
269,816,2021-01-04,1252.0,2409.43,923,10258.93,15334.98,68,1103.0,1811.11,801,7733.78,12162.82,2021
270,821,2021-01-04,474.0,1049.12,393,4801.47,5931.62,74,857.0,1998.98,664,8479.47,11011.8,2021
271,822,2021-01-04,1051.0,2131.25,825,9351.12,12392.16,75,1497.0,2789.04,1166,12146.3,17337.69,2021
272,826,2021-01-04,825.0,1304.03,570,5772.77,8751.56,79,818.0,1774.39,597,6918.73,10541.75,2021
273,834,2021-01-04,167.0,613.81,137,2318.21,3124.38,87,257.0,1239.27,211,4279.95,5835.6900000000005,2021
274,835,2021-01-04,97.0,444.3,89,1675.4,2192.66,88,114.0,549.82,84,1666.83,2227.73,2021
275,837,2021-01-04,1031.0,1547.57,723,7009.73,10836.25,90,787.0,1428.56,549,5928.02,9151.16,2021
276,847,2021-01-04,1026.0,1731.29,802,7998.78,12083.87,100,770.0,1100.56,589,5406.51,8395.79,2021
277,851,2021-01-04,1259.0,2107.57,939,9404.95,14418.91,107,1074.0,2025.32,835,8327.94,13091.12,2021
278,854,2021-01-04,709.0,1124.35,532,5083.28,7975.8,113,665.0,1120.48,479,4704.03,7438.73,2021
279,855,2021-01-04,314.0,530.99,229,2263.08,3572.62,114,320.0,676.84,235,2685.77,4168.83,2021
280,857,2021-01-04,105.0,294.31,88,1252.59,1539.61,116,260.0,825.12,184,3034.14,3965.63,2021
281,864,2021-01-04,156.0,298.07,108,1144.55,1725.1,125,144.0,344.2,103,1309.55,1941.53,2021
282,866,2021-01-04,16.0,86.66,14,364.15,553.9200000000001,127,49.0,436.18,46,1300.0,1528.21,2021
283,867,2021-01-04,1.0,4.52,2,64.65,75.12,128,6.0,77.1,8,234.48,283.15,2021
284,876,2021-01-04,1283.0,2804.11,1013,11533.8,17055.23,137,1117.0,2049.42,869,8853.95,13592.32,2021
285,879,2021-01-04,1864.0,3864.24,1404,23408.48,31902.38,140,1639.0,3014.89,1298,13464.31,20532.24,2021
286,880,2021-01-04,1830.0,2759.94,1421,12847.53,20315.39,141,1817.0,2717.64,1343,12336.15,19682.43,2021
287,881,2021-01-04,1672.0,2508.26,1251,11747.65,18485.98,142,1616.0,2342.04,1230,10929.77,17616.95,2021
288,882,2021-01-04,861.0,1296.33,625,5957.56,9224.64,143,957.0,1631.18,700,7130.83,11132.34,2021
289,883,2021-01-04,270.0,553.09,203,2429.81,3533.84,144,286.0,712.97,211,2928.57,4177.86,2021
290,887,2021-01-04,199.0,395.98,149,1719.87,2433.9,148,279.0,697.86,203,2729.01,3892.17,2021
291,890,2021-01-04,918.0,1615.28,691,7302.67,10179.25,151,858.0,1584.75,637,6850.3,9910.05,2021
292,891,2021-01-04,84.0,206.59,68,806.6,1006.71,152,151.0,413.06,116,1797.74,2301.74,2021
293,892,2021-01-04,1.0,24.75,4,110.95,122.4,153,1.0,44.82,5,174.21,194.01,2021
294,895,2021-01-04,113.0,219.64,92,948.26,1502.94,158,295.0,674.25,217,2608.16,4001.39,2021
295,898,2021-01-04,2088.0,3094.12,1526,14117.4,22493.7,161,1865.0,2400.36,1390,11389.68,18469.88,2021
296,899,2021-01-04,1901.0,3029.74,1487,13619.81,21659.76,162,1350.0,1933.1,1035,9059.31,14570.15,2021
297,900,2021-01-04,1216.0,1963.29,930,8966.22,14108.54,163,1033.0,1482.21,749,6837.93,10882.0,2021
298,901,2021-01-04,942.0,1637.81,707,7248.77,11028.44,164,873.0,1298.91,617,5806.44,9156.09,2021
299,903,2021-01-04,411.0,812.57,328,3754.27,4955.78,166,519.0,1349.7,411,5412.13,7429.72,2021
300,907,2021-01-04,1875.0,3187.19,1423,14307.85,22166.42,170,1728.0,2669.11,1329,12215.61,19460.52,2021
301,921,2021-01-04,1954.0,3651.21,1526,15734.46,24003.76,186,1051.0,1526.04,792,7050.02,11225.32,2021
